Industry,Employees,Cloud_Usage,Firewall_Installed,EDR_Installed,SIEM_Installed,MFA_Enabled,DLP_Enabled,Compliance_Requirement,Main_Threat_Concern,Security_Budget,Risk_Level,Recommended_Solution
Defense,5000,Medium,No,Yes,Yes,No,No,SOC2,IoT Attack,High,Medium,PAM
Government,500,Medium,Yes,No,Yes,No,No,PCI-DSS,OT Attack,Very Low,Medium,Security Awareness Training
Healthcare,100,Medium,No,Yes,No,No,Yes,HITRUST,Malware,Very Low,High,MDR Service
Healthcare,50,None,No,No,No,Yes,No,FISMA,Cloud Security,Very Low,High,Threat Intelligence Platform
Banking,50,None,No,No,Yes,Yes,No,HIPAA,Ransomware,Low,Critical,NAC
E-Commerce,250,None,No,No,No,Yes,No,HIPAA,Credential Theft,Very Low,High,WAF
Pharmaceutical,250,Medium,No,Yes,Yes,Yes,No,NIST,Web Application Attack,Enterprise,Medium,ZTNA Solution
Media,500,Very High,No,No,Yes,No,No,HIPAA,Nation-State Attack,Low,Medium,XDR Platform
Defense,500,High,Yes,Yes,No,Yes,Yes,NERC-CIP,Cryptojacking,Enterprise,Critical,SIEM Solution
Technology,1000,None,Yes,Yes,No,No,No,PCI-DSS,Web Application Attack,Enterprise,Critical,SIEM Solution
Insurance,10000,Very High,No,Yes,No,Yes,Yes,GDPR,Ransomware,Enterprise,High,Ransomware Protection
Media,2500,High,Yes,No,Yes,Yes,No,SOC2,DDoS,High,Low,CASB
Finance,2500,High,Yes,No,No,Yes,No,FISMA,Privilege Escalation,Low,Critical,WAF
Hospitality,1000,Low,Yes,Yes,No,No,Yes,GDPR,DDoS,Very Low,Critical,Email Security Gateway
Retail,500,High,Yes,Yes,No,No,Yes,CMMC,Shadow IT,Low,Critical,WAF
Real Estate,5000,High,No,Yes,Yes,No,Yes,ISO27001,DDoS,Enterprise,Low,ZTNA Solution
Energy,250,Medium,No,Yes,No,No,Yes,HITRUST,IoT Attack,Enterprise,Critical,Cloud Security Platform
Technology,100,High,No,Yes,No,No,Yes,FISMA,Nation-State Attack,Low,High,ZTNA Solution
Defense,250,None,No,Yes,Yes,No,Yes,CCPA,IoT Attack,Very Low,Critical,CASB
Pharmaceutical,5000,High,No,No,No,No,No,IEC62443,Supply Chain Attack,Low,High,EDR Platform
Logistics,10000,Medium,Yes,No,No,Yes,No,IEC62443,Cryptojacking,Medium,High,XDR Platform
Technology,250,Very High,Yes,Yes,Yes,Yes,No,CMMC,Phishing,High,Low,PAM
Oil & Gas,2500,None,Yes,No,No,No,Yes,SOC2,OT Attack,Low,Low,Data Encryption Platform
Technology,250,Medium,No,Yes,Yes,Yes,No,NIST,Zero-Day Exploit,Enterprise,Low,SIEM Solution
Pharmaceutical,1000,Medium,No,No,Yes,No,Yes,CMMC,Ransomware,Low,Low,Attack Surface Management
Pharmaceutical,100,High,No,No,Yes,Yes,Yes,NIST,Ransomware,Low,High,DLP Solution
Technology,1000,Low,No,Yes,Yes,Yes,No,CCPA,Web Application Attack,Medium,Critical,PAM
Banking,1000,None,Yes,No,No,No,No,HITRUST,DDoS,Very Low,High,DLP Solution
Technology,50,Medium,Yes,No,Yes,Yes,No,CCPA,Phishing,Low,Low,DLP Solution
Technology,1000,Low,Yes,Yes,No,Yes,No,PCI-DSS,Shadow IT,Medium,Low,Cloud Security Platform
Media,500,None,No,Yes,Yes,Yes,Yes,COBIT,Cloud Security,Very Low,Medium,Data Encryption Platform
Technology,1000,Medium,No,Yes,Yes,Yes,No,SOX,DDoS,Enterprise,Critical,Ransomware Protection
Education,50,None,Yes,Yes,No,No,No,SOC2,DDoS,Low,Low,DLP Solution
Healthcare,10000,Medium,No,No,Yes,Yes,No,GDPR,Zero-Day Exploit,Enterprise,Medium,XDR Platform
Insurance,250,Low,Yes,Yes,No,No,Yes,ISO27001,Shadow IT,Very Low,Low,DLP Solution
E-Commerce,2500,Medium,Yes,No,No,No,No,FedRAMP,Shadow IT,Medium,Medium,WAF
Energy,500,High,No,Yes,No,No,No,HITRUST,Ransomware,Low,Low,Threat Intelligence Platform
Retail,100,Very High,Yes,Yes,Yes,No,No,NIST,Malware,Very Low,High,IAM
Oil & Gas,10000,Very High,No,Yes,No,Yes,Yes,HIPAA,IoT Attack,Very Low,Medium,IAM
Education,500,None,Yes,No,No,Yes,No,SOC2,Data Breach,Very Low,Medium,CASB
Finance,50,Low,Yes,No,Yes,Yes,Yes,NIST,Phishing,Very Low,Medium,Cloud Security Platform
Insurance,250,Low,Yes,Yes,Yes,No,No,ISO27001,Cloud Security,Enterprise,High,DLP Solution
Healthcare,500,Medium,Yes,Yes,Yes,Yes,No,CMMC,Business Email Compromise,Enterprise,Low,WAF
Pharmaceutical,100,Low,No,Yes,Yes,Yes,No,FedRAMP,Cryptojacking,Medium,Medium,Cloud Security Platform
Telecommunications,2500,Medium,No,Yes,No,Yes,No,ISO27001,DDoS,Very Low,Low,DLP Solution
Technology,500,Medium,No,Yes,No,No,Yes,NIST,Business Email Compromise,High,Medium,Email Security Gateway
Telecommunications,500,None,No,Yes,No,Yes,Yes,ISO27001,API Attack,Very Low,Critical,Vulnerability Management
Retail,50,Very High,Yes,Yes,Yes,Yes,Yes,GDPR,IoT Attack,Medium,Low,Threat Intelligence Platform
Transportation,100,Low,No,Yes,No,No,Yes,SOC2,Nation-State Attack,Medium,Medium,Security Awareness Training
Manufacturing,500,Low,No,Yes,No,Yes,Yes,FedRAMP,Zero-Day Exploit,Enterprise,Medium,PAM
